kanji,count
日,1,日曜日,日曜日,日当たり,日当,日当,月曜日,金曜日,火曜日,水曜日,木曜日,土曜日,何曜日,毎日,明日,明後日,昨日,一昨日,日本,今日,日記,日本語,一日,日本人
一,1,一人,一,一昨日,一昨年,一度,一日,一番
国,1,外国人,中国,中国語,韓国,韓国語
人,1,一人,外国人,女の人,男の人,婦人服,婦人,人形,殺人,大人,近所の人,主人,日本人
年,1,今年,来年,半年,毎年,去年,一昨年,年下,年上
大,1,大きい,大学,大学生,大匙,大火事,大使館,大雨,大人,大好き,大丈夫,大火事,大切
十,1,十
二,1,二
本,1,中本,家本,本屋,本,日本,日本語,山本,日本人,橋本
中,1,中国,中本,田中,中国語,背中,晩中,中,川中さん,夜中
長,1,長い,社長,課長
出,1,出かける,出す,出る,引き出す,出張,出家,出来る
三,1,三
時,1,腕時計,時間,何時,時間,六時発,時々
行,1,行く,銀行,飛行機,迎えに行く,旅行
見,1,見る,見せる
月,1,月曜日,来月,毎月,今月,正月
後,1,後,午後,明後日
前,1,前,午前,名前,名前
生,1,学生,大学生,半生,産す／生す,先生,生活,生活,生け花,生きる
五,1,五
間,1,時間,時間,週間,間,間違える,間違う
上,1,上手,年上,上司,差し上げる,上がる,上げる
東,1,東部,東,北東,南東,東京,東京都,東京市
四,1,四角い,四
今,1,今年,今月,今日
金,1,金属,お金,金曜日
九,1,九
入,1,入る,入学,入れる,記入,入院
学,1,学生,大学,大学生,学部,入学,学校,留学
高,1,高い,高まる,高さ,最高気温
円,1,円
子,1,子供,子,女の子,男の子,子猫,子犬
外,1,外国人,外,海外
八,1,八
六,1,六,六時発
下,1,地下,下,下さる,年下,低下,下がる,下げる,地下鉄,下らない
来,1,来年,来月,来る,将来,出来る
気,1,元気,天気,気楽,天気予報,電気,気持ち,気分,気温,最高気温
小,1,小さい,小匙,小雨,小説,小包,小川さん
七,1,七
山,1,山,山本
話,1,話す,電話,お世話,会話,話
女,1,女の人,女の子,彼女
北,1,北,北東,北西,北海道
午,1,午前,午後
百,1,百
書,1,書く,図書館,落書き,葉書,書類,辞書,履歴書,書類
先,1,先,先輩,先生
名,1,名前,名前,名字,有名
川,1,川,小川さん,川中さん
千,1,千
水,1,水曜日,水,水族館,洪水
半,1,半,半分,半年,半生
男,1,男の人,男の子
西,1,西,南西,北西,西風
電,1,電話,電車,電気
校,1,学校
語,1,英語,日本語,中国語,韓国語,単語
土,1,土,土方,土曜日,お土産
木,1,木曜日
聞,1,聞く,聞く,新聞
食,1,食べる,食べ物,洋食,食品
車,1,車,電車,自転車,駐車場,普通列車
何,1,何曜日,何時,何
南,1,南,南東,南西
万,1,万
毎,1,毎日,毎月,毎年,毎朝
白,1,白い
天,1,天気,天ぷら,天気予報,任天堂
母,1,母,お母さん,祖母,お祖母さん
火,1,火曜日,火,火事,大火事,大火事
右,1,右,右側
読,1,読む
友,1,友達,友田
左,1,左,左側
休,1,休む,休み
父,1,父,お父さん,祖父,お祖父さん
雨,1,雨,小雨,黒い雨,大雨
会,1,会議,送別会,会場,会話,教会,貿易会社,社会的,社会,会社員,会社,会う,説明会,会う
同,1,同じ,同僚
